ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike
12496,Married,Female,40000,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,42,0
24107,Married,Male,30000,3,Partial College,Clerical,1,1,0-1 Miles,Europe,43,0
14177,Married,Male,80000,5,Partial College,Professional,0,2,2-5 Miles,Europe,60,0
24381,Single,Male,70000,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,41,1
25597,Single,Male,30000,0,Bachelors,Clerical,0,0,0-1 Miles,Europe,36,1
13507,Married,Female,10000,2,Partial College,Manual,1,0,1-2 Miles,Europe,50,0
27974,Single,Male,160000,2,High School,Management,1,4,0-1 Miles,Pacific,33,1
19364,Married,Male,40000,1,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,43,1
22155,Married,Male,20000,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,58,0
19280,Married,Male,20000,2,Partial College,Manual,1,1,0-1 Miles,Europe,48,1
22173,Married,Female,30000,3,High School,Skilled Manual,0,2,1-2 Miles,Pacific,54,1
12697,Single,Female,90000,0,Bachelors,Professional,0,4,10+ Miles,Pacific,36,0
11434,Married,Male,170000,5,Partial College,Professional,1,4,0-1 Miles,Europe,55,0
25323,Married,Male,40000,2,Partial College,Clerical,1,1,1-2 Miles,Europe,35,1
23542,Single,Male,60000,1,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,45,1
20870,Single,Female,10000,2,High School,Manual,1,1,0-1 Miles,Europe,38,1
23316,Single,Male,30000,3,Partial College,Clerical,0,2,1-2 Miles,Pacific,59,1
12610,Married,Female,30000,1,Bachelors,Clerical,1,0,0-1 Miles,Europe,47,0
27183,Single,Male,40000,2,Partial College,Clerical,1,1,1-2 Miles,Europe,35,1
25940,Single,Male,20000,2,Partial High School,Clerical,1,2,5-10 Miles,Pacific,55,1
25598,Married,Female,40000,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,36,1
21564,Single,Female,80000,0,Bachelors,Professional,1,4,10+ Miles,Pacific,35,0
19193,Single,Male,40000,2,Partial College,Clerical,1,0,1-2 Miles,Europe,35,1
26412,Married,Female,80000,5,High School,Management,0,3,5-10 Miles,Europe,56,0
